年份,指标,均值,中位数,标准差,最小值,最大值,样本量
2021,sl,0.33237232904881586,0.307302357475127,0.1839858406858255,0.0413907548947018,1.0,4582
2021,ll,0.08839932970137895,0.04746858954724785,0.10419828938035504,0.0006491825117984,1.0,4566
2021,sdr,0.8069074572130165,0.8590998881064886,0.17252388835595156,0.2728301931004771,1.0,4582
2021,cash,0.08811705243978028,0.0403720723331626,0.11712698163869856,1.3235303236543652e-05,0.7288823277811245,2855
2021,ta,73995929117.99182,3820073993.1,993901140414.2883,85889553.9,35171383000000.0,4677
2021,te,12670391439.435417,2198284449.31,93631311474.3214,6839214.24,3275258000000.0,4643
2021,sloan,0.09459936056652858,0.06735585051388021,0.09564239342035884,0.00052501012157,1.0,3438
2021,lloan,0.07306588504177358,0.044762505319237145,0.08353184961548288,0.0004503101293774,0.5677200486952997,2460
2021,top1,0.32291065234124433,0.299,0.14885840519827165,0.024307,0.89991,4677
2021,hhi5_approx,3.604720496065263e-06,1.3452984169000005e-06,5.854834473271344e-06,1.61264601e-08,3.510562500000001e-05,4701
2021,size,22.352916894832134,22.06353562929877,1.522649653188039,18.26857277187632,31.19125388492819,4677
2021,age,11.472843450479234,10.0,8.881292215356735,1.0,32.0,4695
2022,lev,0.42361334776127146,0.4038628982067814,0.22682304047815555,0.0524913438289049,1.0,5109
2022,sl,0.32121422423803025,0.2970933193481525,0.18278831561710462,0.0394779719962891,1.0,4961
2022,ll,0.09025601356111577,0.0502951771031753,0.10548236797175918,0.0007380725936546,1.0,4935
2022,sdr,0.8003050703882952,0.8536551762413445,0.1742558180879402,0.2720483300133003,1.0,4961
2022,cash,0.08749453837051754,0.03615737663243265,0.11925691288395607,3.801672541236116e-06,0.747360198130598,3092
2022,ta,76192211270.62793,3840093816.815,1074662888621.2155,100859176.87,39609657000000.0,5058
2022,te,13193182576.314678,2237799544.805,99574019578.87071,4479728.31,3513826000000.0,5018
2022,sloan,0.08922217713761188,0.0617499643123742,0.0928037945979982,0.0002649409267454,1.0,3823
2022,lloan,0.07442287301530864,0.0479267660648978,0.08286461459388944,0.0003152098938445,0.5557563445038922,2806
2022,top1,0.32060007275603003,0.2968815,0.1483788525149024,0.018438,0.89991,5058
2022,hhi5_approx,4.03879703555919e-06,1.3244096889e-06,8.364520006737424e-06,1.352569e-08,6.559363902010001e-05,5109
2022,size,22.35407727835508,22.06876263275598,1.5217531997221327,18.429235813465134,31.310094068095445,5058
2022,age,11.497158534195572,9.0,9.05611787857914,1.0,33.0,5103
2023,lev,0.41234216760117975,0.39497000526217063,0.21891825960974526,0.0489189098678678,1.0,5322
2023,sl,0.3107444758084601,0.28179397807065876,0.17749988777825618,0.0380766694310792,1.0,5224
2023,ll,0.09452116101689795,0.0530442911328778,0.10523828441944313,0.0007707829527338,0.8075888138040466,5212
2023,sdr,0.7881050098005227,0.8404534326365185,0.18112989657744705,0.2616965382468443,1.0,5224
2023,cash,0.08597111625052044,0.0360191002891662,0.11727137342554277,3.7606099301081854e-06,0.7791136527439567,3184
2023,ta,79212255620.8469,3778647557.585,1177505656741.1863,117128966.34,44697079000000.0,5322
2023,te,13452535753.822552,2226765494.14,104464463518.99072,21295470.72,3776588000000.0,5299
2023,sloan,0.083399078865248,0.0561554137601174,0.08591325071047116,0.0002198360700392,0.7375464642213337,4046
2023,lloan,0.08164342636294027,0.0535447083733503,0.08617369272124115,0.0003786063693446,0.5793362810244744,2986
2023,top1,0.31959215219842163,0.29524300000000003,0.15003383099030584,0.018464,0.89991,5322
2023,hhi5_approx,3.4318934853738817e-06,1.2799980938e-06,5.787804770695143e-06,1.13955625e-08,6.55908853924e-05,5322
2023,size,22.34753748717646,22.052631993365097,1.5167285856963733,18.5787861621117,31.43092926865673,5322
2023,age,11.764607368812802,9.0,9.166869479727312,1.0,34.0,5374
